tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,y
2021-560,Us Open,Hard,128,G,20210830,144,,Carlos Alcaraz,R,185.0,ESP,18.3,6-4 6-4 6-3,5,R128,114.0,111815,26.0,,Cameron Norrie,L,188.0,GBR,26.0,207989,,6.0,2.0,74.0,49.0,38.0,14.0,14.0,1.0,3.0,6.0,3.0,96.0,57.0,40.0,14.0,15.0,4.0,10.0,29.0,1975.0,55.0,1209.0,1
2017-580,Australian Open,Hard,128,G,20170116,180,,Alexandr Dolgopolov,R,180.0,UKR,28.1,6-3 6-4 1-6 6-0,5,R64,116.0,104792,6.0,,Gael Monfils,R,193.0,FRA,30.3,105238,,17.0,5.0,92.0,62.0,49.0,11.0,16.0,3.0,6.0,6.0,5.0,123.0,72.0,48.0,19.0,16.0,13.0,19.0,6.0,3625.0,69.0,715.0,0
2018-7434,Sofia,Hard,32,A,20180205,279,,Malek Jaziri,R,185.0,TUN,34.0,7-6(3) 6-4,3,R32,86.0,109739,,,Maximilian Marterer,L,191.0,GER,22.6,104291,,13.0,2.0,77.0,47.0,38.0,17.0,11.0,5.0,5.0,5.0,2.0,71.0,36.0,30.0,17.0,11.0,2.0,3.0,82.0,669.0,110.0,515.0,0
2020-M-DC-2020-WG2-PO-PAR-SRI-01,Davis Cup WG2 PO: PAR vs SRI,Clay,4,D,20200306,4,,Adolfo Daniel Vallejo,R,,PAR,15.8,6-1 6-1,3,RR,,209872,,,Thehan Sanjaya Wijemanne,L,,SRI,16.1,209226,,,,,,,,,,,,,,,,,,,,,,,,1
2017-540,Wimbledon,Grass,128,G,20170703,179,,Florian Mayer,R,190.0,GER,33.7,7-6(2) 6-4 7-5,5,R64,132.0,105227,7.0,,Marin Cilic,R,198.0,CRO,28.7,104252,,31.0,5.0,93.0,55.0,50.0,21.0,17.0,0.0,2.0,0.0,4.0,122.0,77.0,52.0,18.0,17.0,3.0,7.0,6.0,4235.0,114.0,500.0,0
2019-0495,Dubai,Hard,32,A,20190225,290,Q,Ricardas Berankis,R,175.0,LTU,28.6,6-4 6-1,3,R16,74.0,106045,,,Denis Kudla,R,180.0,USA,26.5,105575,,3.0,0.0,51.0,30.0,21.0,14.0,9.0,0.0,1.0,0.0,2.0,61.0,39.0,25.0,5.0,8.0,5.0,9.0,68.0,770.0,113.0,516.0,1
2017-0439,Umag,Clay,32,A,20170717,272,WC,Marc Polmans,R,188.0,AUS,20.2,6-7(3) 6-3 6-4,3,R32,178.0,105561,,,Alessandro Giannessi,L,183.0,ITA,27.1,117360,,7.0,3.0,112.0,75.0,48.0,21.0,16.0,11.0,14.0,2.0,6.0,127.0,67.0,43.0,27.0,15.0,12.0,17.0,104.0,520.0,207.0,250.0,0
2019-580,Australian Open,Hard,128,G,20190114,143,,Nikoloz Basilashvili,R,185.0,GEO,26.8,6-4 4-6 7-6(6) 6-3,5,R128,162.0,111153,,Q,Christopher Eubanks,R,201.0,USA,22.6,105932,19.0,11.0,9.0,145.0,90.0,65.0,27.0,21.0,10.0,15.0,21.0,9.0,127.0,74.0,57.0,20.0,20.0,5.0,11.0,170.0,312.0,20.0,1820.0,1
2020-0496,Marseille,Hard,32,A,20200217,299,,Felix Auger Aliassime,R,193.0,CAN,19.5,7-5 7-6(2),3,SF,119.0,104468,,,Gilles Simon,R,183.0,FRA,35.1,200000,7.0,5.0,2.0,71.0,48.0,38.0,12.0,12.0,2.0,3.0,1.0,3.0,81.0,51.0,35.0,15.0,12.0,4.0,6.0,58.0,890.0,18.0,1921.0,1
2016-0322,Geneva,Clay,32,A,20160516,273,,Sam Querrey,R,198.0,USA,28.6,7-6(5) 6-4,3,R32,89.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,32.9,105023,8.0,5.0,4.0,70.0,38.0,28.0,19.0,11.0,1.0,3.0,13.0,3.0,81.0,45.0,30.0,18.0,11.0,9.0,12.0,55.0,865.0,37.0,1135.0,0
2018-M021,Madrid Masters,Clay,64,M,20180507,298,,Denis Shapovalov,L,185.0,CAN,19.0,6-4 6-1,3,SF,57.0,100644,2.0,,Alexander Zverev,R,198.0,GER,21.0,133430,,2.0,1.0,42.0,26.0,23.0,10.0,8.0,0.0,0.0,0.0,1.0,46.0,31.0,18.0,6.0,9.0,0.0,4.0,3.0,5195.0,43.0,1128.0,0
2017-560,US Open,Hard,128,G,20170828,126,,Patrick Kypson,R,188.0,USA,17.8,6-4 7-6(9) 6-1,5,R128,151.0,104629,,Q,Adrian Menendez Maceiras,R,185.0,ESP,31.8,200516,,11.0,1.0,97.0,58.0,46.0,19.0,15.0,5.0,8.0,4.0,3.0,101.0,60.0,33.0,19.0,14.0,5.0,11.0,148.0,377.0,923.0,14.0,0
2018-6967,Shenzhen,Hard,32,A,20180924,280,,Cameron Norrie,L,188.0,GBR,23.0,6-2 6-2,3,R32,70.0,105842,,WC,Di Wu,R,175.0,CHN,27.0,111815,,5.0,3.0,50.0,31.0,24.0,11.0,8.0,6.0,6.0,3.0,2.0,52.0,21.0,16.0,10.0,8.0,3.0,7.0,287.0,177.0,73.0,758.0,1
2016-M024,Cincinnati Masters,Hard,64,M,20160815,279,,Marcos Baghdatis,R,183.0,CYP,31.1,7-5 6-0,3,R32,71.0,104792,9.0,,Gael Monfils,R,193.0,FRA,29.9,104571,,2.0,2.0,54.0,37.0,28.0,9.0,9.0,4.0,6.0,3.0,3.0,46.0,22.0,12.0,8.0,9.0,2.0,8.0,11.0,2755.0,44.0,990.0,0
2021-0404,Indian Wells Masters,Hard,128,M,20211004,258,,Roberto Bautista Agut,R,183.0,ESP,33.4,7-5 6-3,3,R64,116.0,105550,,,Guido Pella,L,185.0,ARG,31.3,105138,15.0,2.0,3.0,73.0,45.0,32.0,11.0,11.0,9.0,12.0,1.0,3.0,71.0,48.0,25.0,12.0,10.0,4.0,9.0,77.0,914.0,19.0,2360.0,1
2021-580,Australian Open,Hard,128,G,20210208,102,,Reilly Opelka,R,211.0,USA,23.4,6-3 7-6(2) 6-3,5,R128,115.0,104229,,,Yen Hsun Lu,R,180.0,TPE,37.4,124187,,18.0,2.0,84.0,53.0,45.0,21.0,15.0,1.0,2.0,3.0,4.0,92.0,65.0,43.0,14.0,15.0,5.0,8.0,1009.0,10.0,38.0,1422.0,1
2016-0500,Halle,Grass,32,A,20160613,280,,Albert Ramos,L,188.0,ESP,28.4,6-3 7-5,3,R32,87.0,104460,,WC,Dustin Brown,R,196.0,GER,31.5,105077,,8.0,10.0,66.0,35.0,31.0,13.0,10.0,7.0,8.0,4.0,4.0,88.0,62.0,40.0,9.0,11.0,9.0,13.0,87.0,673.0,35.0,1165.0,0
2019-560,US Open,Hard,128,G,20190826,168,Q,Dominik Koepfer,L,180.0,GER,25.3,6-4 6-4 7-6(2),5,R64,147.0,124187,,,Reilly Opelka,R,211.0,USA,21.9,136440,,8.0,6.0,116.0,69.0,52.0,26.0,16.0,7.0,8.0,24.0,1.0,107.0,66.0,50.0,15.0,16.0,3.0,6.0,42.0,1076.0,118.0,474.0,1
2017-M035,Washington,Hard,64,A,20170731,299,,Jack Sock,R,185.0,USA,24.8,6-3 6-4,3,SF,89.0,104731,15.0,,Kevin Anderson,R,203.0,RSA,31.2,106058,8.0,12.0,5.0,71.0,40.0,29.0,18.0,10.0,5.0,5.0,2.0,5.0,57.0,35.0,25.0,9.0,9.0,2.0,4.0,45.0,960.0,19.0,2200.0,0
2016-M035,Washington,Hard,64,A,20160718,255,WC,Denis Shapovalov,L,185.0,CAN,17.2,7-6(3) 4-6 6-4,3,R64,103.0,105041,,,Lukas Lacko,R,185.0,SVK,28.7,133430,,6.0,6.0,95.0,61.0,42.0,22.0,16.0,4.0,7.0,7.0,5.0,104.0,61.0,46.0,18.0,16.0,1.0,4.0,102.0,593.0,371.0,121.0,0
2017-M-DC-2017-G2-AO-M-KUW-THA-01,Davis Cup G2 R1: KUW vs THA,Hard,4,D,20170203,1,,Abdullah Maqdas,U,,KUW,29.8,6-2 6-4 6-7(4) 6-4,5,RR,163.0,127143,,,Jirat Navasirisomboon,R,,THA,20.2,104895,,1.0,5.0,121.0,84.0,60.0,21.0,20.0,8.0,11.0,2.0,3.0,141.0,107.0,65.0,14.0,20.0,4.0,11.0,997.0,12.0,1298.0,4.0,0
2021-0403,Miami Masters,Hard,128,M,20210322,283,,John Isner,R,206.0,USA,35.9,7-6(5) 7-6(5),3,R32,109.0,200000,11.0,,Felix Auger Aliassime,R,193.0,CAN,20.6,104545,18.0,16.0,1.0,77.0,57.0,47.0,12.0,12.0,0.0,0.0,11.0,5.0,74.0,56.0,48.0,9.0,12.0,0.0,0.0,18.0,2561.0,28.0,1850.0,1
2021-0375,Montpellier,Hard,32,A,20210222,297,,Roberto Bautista Agut,R,183.0,ESP,32.8,6-3 6-3,3,QF,75.0,200005,6.0,,Ugo Humbert,L,188.0,FRA,22.6,105138,1.0,3.0,2.0,45.0,25.0,22.0,12.0,9.0,0.0,1.0,3.0,2.0,51.0,28.0,17.0,9.0,9.0,0.0,4.0,32.0,1706.0,13.0,2710.0,1
2019-560,US Open,Hard,128,G,20190826,208,,Alexander Zverev,R,198.0,GER,22.3,6-7(4) 7-6(4) 6-3 7-6(3),5,R32,216.0,105379,,,Aljaz Bedene,R,181.0,SLO,30.1,100644,6.0,25.0,7.0,147.0,105.0,84.0,21.0,25.0,4.0,6.0,16.0,3.0,156.0,92.0,65.0,34.0,23.0,5.0,8.0,80.0,685.0,6.0,4005.0,1
2016-0322,Geneva,Clay,32,A,20160516,300,,Marin Cilic,R,198.0,CRO,27.6,6-4 7-6(11),3,F,118.0,104527,1.0,,Stan Wawrinka,R,183.0,SUI,31.1,105227,3.0,5.0,2.0,79.0,47.0,34.0,19.0,11.0,2.0,3.0,4.0,2.0,90.0,46.0,36.0,18.0,11.0,5.0,7.0,4.0,6110.0,11.0,2715.0,0
2017-0568,St. Petersburg,Hard,32,A,20170918,295,Q,Liam Broady,L,183.0,GBR,23.7,6-3 2-6 6-4,3,QF,112.0,106000,,,Damir Dzumhur,R,172.0,BIH,25.3,106281,,0.0,6.0,86.0,51.0,32.0,19.0,13.0,8.0,12.0,4.0,1.0,101.0,65.0,35.0,21.0,14.0,5.0,10.0,55.0,891.0,242.0,211.0,0
2019-0316,Bastad,Clay,32,A,20190715,289,,Juan Ignacio Londero,R,180.0,ARG,25.9,4-6 7-5 6-3,3,R16,142.0,106198,,,Hugo Dellien,R,180.0,BOL,26.0,106228,6.0,8.0,5.0,100.0,58.0,44.0,24.0,15.0,8.0,9.0,3.0,1.0,113.0,76.0,52.0,17.0,16.0,16.0,19.0,94.0,610.0,71.0,800.0,1
2017-0421,Canada Masters,Hard,64,M,20170807,275,,Benoit Paire,R,196.0,FRA,28.2,6-2 7-5,3,R32,77.0,111577,,,Jared Donaldson,R,188.0,USA,20.8,105332,,5.0,3.0,57.0,31.0,23.0,14.0,10.0,2.0,4.0,4.0,6.0,65.0,25.0,14.0,19.0,10.0,3.0,8.0,66.0,720.0,41.0,1085.0,0
2020-560,Us Open,Hard,128,G,20200831,164,,Novak Djokovic,R,188.0,SRB,33.2,6-7(5) 6-3 6-4 6-2,5,R64,193.0,106378,,,Kyle Edmund,R,188.0,GBR,25.6,104925,1.0,16.0,3.0,108.0,72.0,60.0,21.0,20.0,3.0,5.0,7.0,6.0,139.0,82.0,53.0,27.0,20.0,6.0,12.0,44.0,1050.0,1.0,10860.0,1
2016-540,Wimbledon,Grass,128,G,20160627,184,,Mikhail Kukushkin,R,183.0,KAZ,28.5,W/O,5,R64,100.0,105138,14.0,,Roberto Bautista Agut,R,183.0,ESP,28.2,105062,,,,,,,,,,,,,,,,,,,,15.0,2150.0,57.0,867.0,0
